Qty;Value;Device;Package;Parts;Description;ASSEMBLE;DESCRIPTION;FOOTPRINT;LINK;MF;MFG;MFG_PN;MPN;OC_FARNELL;OC_NEWARK;PART_TYPE;PRICE;PROD_ID;TOLLERANCE;VENDOR;VENDOR_PART_NUMBER
1;10k;R-EU_R0805;R0805;R11;RESISTOR, European symbol;;;;;;;;;;;;;;;;
1;120R;R-EU_R0805;R0805;R7;RESISTOR, European symbol;;;;;;;;;;;;;;;;
1;150080BS75000;LEDCHIP-LED0805;CHIP-LED0805;POW;LED;;;;;;;;;;;;;;;;
1;2.2k;R-EU_R0805;R0805;R1;RESISTOR, European symbol;;;;;;;;;;;;;;;;
4;200R;R-EU_R0805;R0805;R2, R3, R4, R5;RESISTOR, European symbol;;;;;;;;;;;;;;;;
3;571-4-103321-5;MA03-1;MA03-1;JP1, JP2, JP3;PIN HEADER;;;;;;;;;unknown;unknown;;;;;;
1;571-4-146262-1;MA03-2;MA03-2;SV3;PIN HEADER;;;;;;;;;unknown;unknown;;;;;;
1;649-68000-408HLF;MA08-1;MA08-1;SV4;PIN HEADER;;;;;;;;;unknown;unknown;;;;;;
4;696-SML-0805ICTR;LEDCHIP-LED0805;CHIP-LED0805;P1, P2, P3, P4;LED;;;;;;;;;;;;;;;;
1;74HCT04D;74HCT04D;SO14;IC1;Hex INVERTER;;;;;;;;;;;;;;;;
1;DBLS202G;DBLS202G;DBS;B1;Single Phase 1.0 AMP Glass Passivated Bridge Rectifier;;;;;;;;;;;;;;;;
4;DMN6068SE-13;NMOSFET_SMD_223;SOT223;U$3, U$7, U$9, U$12;;;;;;;;;;;;;;;;;
1;DS2431P+T&R;DS2431P;TSOC6;U1;1024-Bit EEPROM;;IC, 1024-Bit, 1-Wire EEPROM, TSOC6;TSOC6;http://www.digikey.com/product-detail/en/DS2431P%2BT%26R/DS2431P%2BT%26RCT-ND/3647900;;DIGIKEY;DS2431P+T&RCT-ND;;;;IC;0.98;;;MAXIM;DS2431P+T&R
3;EMZR500ADA221MHA0G;CPOL-US150CLZ-0810;150CLZ-0810;C2, C4, C5;POLARIZED CAPACITOR, American symbol;;;;;;;;;;;;;;;;
4;ES2D;DIODE-SMB;SMB;D1, D2, D3, D4;DIODE;;;;;;;;;;;;;;;;
1;R-7805-1.0;R-7805-1.0;SIP3;U$10;;;;;;;;;;;;;;;;;
4;SRD-05VDC-SL-C;RELAYPTH;SRD-05VDC-SL-C;U$1, U$2, U$8, U$11;SPDT relay (COM-00101);;;;;;;;;;;;;;;;
